actualRecession, Inf_1,actualRecession,Inf_2,actualRecession,Inf_3,actualRecession,Inf_4,actualRecession,Inf_5,actualRecession,Inf_6,actualRecession,Inf_7
332,0.1259,222,0.0688,396.32,0.0978,530,0.1339,486,0.1325,332.0519,1.13E-01,528.8688,0.1107
332,0.1259,222,0.0686,394.91,0.0975,530,0.1339,487,0.1328,332.8451,0.113,528.784787,0.1109
332,0.1259,224,0.0692,393.49,0.1006,530,0.134,487,0.1328,333.0501,0.1131,530.4447,0.111
330,0.1253,224,0.0692,392.08,0.1004,528,0.1335,487,0.1328,333.2491,0.1131,530.6706,0.111
330,0.1255,222,0.0686,390.66,0.1001,528,0.1335,487,0.1328,333.273,0.1131,530.8905,0.1111
328,0.1247,222,0.0688,389.25,0.0999,526,0.1331,487,0.1328,333.1754,0.1131,531.776,0.1112
326,0.1241,220,0.0682,387.83,0.0996,524,0.1327,487,0.1328,332.9187,0.113,531.5317,0.1112
324,0.1235,220,0.0684,386.42,0.0994,524,0.1329,487,0.1328,332.8218,0.113,531.9573,0.1112
324,0.1237,218,0.0678,385,0.0991,522,0.1323,486,0.1325,332.6363,0.113,531.7672,0.1112
322,0.1231,216,0.0674,384.6,0.099,520,0.1319,486,0.1326,332.402,0.1129,532.0546,0.1112
320,0.1223,216,0.0675,0,,518,0.1315,485,0.1323,332.1295,0.1129,531.8388,0.1112
318,0.1217,214,0.0671,0,,516,0.1312,485,0.1324,331.6016,0.1128,532.0265,0.1112
316,0.1211,212,0.0665,0,,514,0.1308,485,0.1324,331.4679,0.1127,531.7546,0.1112
314,0.1205,210,0.0661,0,,512,0.1304,484,0.1321,331.122,0.1127,531.8539,0.1112
312,0.1199,208,0.0657,0,,510,0.13,483,0.1318,330.5191,0.1126,531.5146,0.1112
310,0.1193,208,0.0659,0,,508,0.1296,483,0.1319,330.2826,0.1125,531.5207,0.1112
308,0.1187,206,0.0653,0,,508,0.1298,482,0.1316,329.6283,0.1124,531.0975,0.1111
308,0.1189,204,0.0648,0,,506,0.1294,482,0.1317,329.2127,0.1123,530.9904,0.1111
306,0.1183,202,0.0644,0,,504,0.129,481,0.1315,328.7418,0.1122,530.4507,0.111
304,0.1177,200,0.064,0,,502,0.1286,480,0.1312,328.2188,0.1121,530.1488,0.1109
302,0.1171,200,0.0642,0,,500,0.1282,480,0.1313,327.7472,0.112,529.7323,0.1109
300,0.1163,198,0.0637,0,,498,0.1275,479,0.131,326.9594,0.1118,529.2657,0.1108
298,0.1155,196,0.0633,0,,496,0.1274,478,0.1308,326.38,0.1117,529.0128,0.1108
296,0.1151,194,0.0627,0,,494,0.127,477,0.1305,325.7494,0.1116,528.6192,0.1107
294,0.1147,192,0.0623,0,,492,0.1266,477,0.1306,325.0661,0.1114,528.1839,0.1106
292,0.1141,190,0.0619,0,,490,0.1262,476,0.1304,324.4321,0.1113,527.7393,0.1106
290,0.1135,188,0.0614,0,,488,0.1258,475,0.1302,323.5032,0.1111,527.2823,0.1105
288,0.1129,186,0.061,0,,486,0.1255,474,0.1299,322.7666,0.111,526.8093,0.1104
286,0.1123,184,0.0606,0,,484,0.1251,474,0.1299,321.977,0.1108,526.3134,0.1103
284,0.1116,184,0.0608,0,,482,0.1247,473,0.1297,321.1359,0.1106,525.7883,0.1102
282,0.111,182,0.0603,0,,480,0.1243,472,0.1295,320.3359,0.1104,525.2272,0.1102
280,0.1104,180,0.0599,0,,478,0.1239,471,0.1292,319.2588,0.1102,524.6251,0.1101
278,0.1098,178,0.0594,0,,476,0.1235,470,0.129,318.4658,0.1101,523.9792,0.11
276,0.1092,176,0.059,0,,474,0.1231,470,0.1291,317.3272,0.1098,523.2878,0.1098
274,0.1086,174,0.0584,0,,472,0.1227,469,0.1288,316.3632,0.1096,522.5498,0.1097
272,0.108,172,0.0578,0,,470,0.1223,468,0.1286,315.3454,0.1094,521.7636,0.1096
270,0.1073,170,0.0575,0,,468,0.1219,467,0.1284,314.1124,0.1092,520.9274,0.1095
268,0.1067,168,0.0573,0,,466,0.1215,466,0.1281,313.211,0.109,520.0392,0.1093
266,0.1061,166,0.0568,0,,464,0.1211,465,0.1279,311.9134,0.1087,519.0965,0.1092
264,0.1055,164,0.0564,0,,462,0.1207,465,0.128,310.8966,0.1085,518.0971,0.109
262,0.1049,162,0.0559,0,,460,0.1203,464,0.1277,309.5332,0.1082,517.0386,0.1088
260.84,0.1045,160,0.0555,0,,458,0.1199,463,0.1275,308.4214,0.108,515.9183,0.1087
,,,0.055,,,,0.1195,,0.1273,,0.1077,,0.1085
,,,0.0546,,,,0.1191,,0.1271,,0.1074,,0.1083
,,,0.0541,,,,0.1187,,0.1268,,0.1071,,0.108
,,,0.0537,,,,0.1183,,0.1265,,0.1068,,0.1078
,,,0.0532,,,,0.1179,,0.1266,,0.1065,,0.1076
,,,0.0527,,,,0.1175,,0.1264,,0.1062,,0.1074
,,,0.0523,,,,0.1171,,0.1262,,0.1059,,0.1071
,,,0.0518,,,,0.1167,,0.126,,0.1056,,0.1068
,,,0.0514,,,,0.1163,,0.1257,,0.1052,,0.1065
,,,0.0518,,,,0.1159,,0.1255,,0.1049,,0.1062
,,,0.0514,,,,0.1155,,0.1252,,0.1045,,0.1059
,,,,,,,0.1151,,0.125,,0.1042,,0.1055
,,,,,,,0.1147,,0.1251,,0.1038,,0.1052
,,,,,,,0.1143,,0.1249,,0.1034,,0.1049
,,,,,,,0.1139,,0.1246,,0.103,,0.1045
,,,,,,,0.1135,,0.1244,,0.1026,,0.104
,,,,,,,0.1131,,0.1242,,0.1022,,0.1036
,,,,,,,0.1127,,0.124,,0.1018,,0.1032
,,,,,,,0.1123,,0.1237,,0.1014,,0.1027
,,,,,,,0.1118,,0.1235,,0.1009,,0.1023
,,,,,,,0.1114,,0.1232,,0.1005,,0.1017
,,,,,,,0.111,,0.123,,0.1,,0.1012
,,,,,,,0.1106,,0.1228,,9.95E-02,,0.1007
,,,,,,,0.1102,,0.1228,,9.91E-02,,0.1001
,,,,,,,0.1098,,0.1226,,9.86E-02,,9.95E-02
,,,,,,,0.1094,,0.1224,,9.81E-02,,
,,,,,,,0.109,,0.1222,,9.75E-02,,
,,,,,,,0.1086,,0.122,,9.70E-02,,
,,,,,,,0.1082,,0.1217,,9.65E-02,,
,,,,,,,0.1077,,0.1215,,9.59E-02,,
,,,,,,,0.1073,,0.1213,,9.54E-02,,
,,,,,,,0.1069,,0.1211,,9.51E-02,,
,,,,,,,0.1065,,0.1208,,9.48E-02,,
,,,,,,,0.1061,,0.1205,,9.45E-02,,
,,,,,,,0.1057,,0.1203,,9.41E-02,,
,,,,,,,0.1053,,0.1204,,,,
,,,,,,,0.1048,,0.1202,,,,
,,,,,,,0.1044,,0.1199,,,,
,,,,,,,0.104,,0.1197,,,,
,,,,,,,0.1036,,0.1195,,,,
,,,,,,,0.1032,,0.1193,,,,
,,,,,,,0.1031,,0.1191,,,,
,,,,,,,,,0.1188,,,,
,,,,,,,,,0.1186,,,,
,,,,,,,,,0.1184,,,,
,,,,,,,,,0.1182,,,,
,,,,,,,,,0.1179,,,,
,,,,,,,,,0.1177,,,,
,,,,,,,,,0.1174,,,,
,,,,,,,,,0.1172,,,,
,,,,,,,,,0.1169,,,,
,,,,,,,,,0.1167,,,,
,,,,,,,,,0.1168,,,,
,,,,,,,,,0.1166,,,,
,,,,,,,,,0.1164,,,,
,,,,,,,,,0.1161,,,,
,,,,,,,,,0.1159,,,,
,,,,,,,,,0.1157,,,,
,,,,,,,,,0.1155,,,,
,,,,,,,,,0.1152,,,,
,,,,,,,,,0.115,,,,
,,,,,,,,,0.1148,,,,
,,,,,,,,,0.1146,,,,
,,,,,,,,,0.1143,,,,
,,,,,,,,,0.1141,,,,
,,,,,,,,,0.1139,,,,
,,,,,,,,,0.1137,,,,
,,,,,,,,,0.1134,,,,
,,,,,,,,,0.1131,,,,
,,,,,,,,,0.1129,,,,
,,,,,,,,,0.1127,,,,
,,,,,,,,,0.1124,,,,
,,,,,,,,,0.1122,,,,
,,,,,,,,,0.112,,,,
,,,,,,,,,0.1121,,,,
,,,,,,,,,0.1119,,,,
,,,,,,,,,0.1116,,,,
,,,,,,,,,0.1114,,,,
,,,,,,,,,0.1112,,,,
,,,,,,,,,0.1109,,,,
,,,,,,,,,0.1107,,,,
,,,,,,,,,0.1105,,,,
,,,,,,,,,0.1103,,,,
,,,,,,,,,0.11,,,,
,,,,,,,,,0.1098,,,,
,,,,,,,,,0.1096,,,,
,,,,,,,,,0.1094,,,,
,,,,,,,,,0.1093,,,,
