 sensor_id,time,station,adv,id
1,12:00:00,0,0,1
1,12:02:00,12,2,1
1,12:04:00,18.5,4,1
1,12:06:00,24.1,6,1
1,12:08:00,29,8,1
1,12:10:00,33.4,10,1
1,12:12:00,37.2,12,1
1,12:14:00,40.7,14,1
1,12:16:00,43.9,16,1
1,12:18:00,46.8,18,1
1,12:20:00,49.5,20,1
1,12:22:00,51.9,22,1
1,12:24:00,54.2,24,1
1,12:26:00,56.3,26,1
1,12:28:00,58.4,28,1
1,12:30:00,60.3,30,1
1,12:32:00,62,32,1
1,12:34:00,63.7,34,1
1,12:36:00,65.3,36,1
1,12:38:00,66.9,38,1
1,12:40:00,68.3,40,1
1,12:42:00,69.7,42,1
1,12:44:00,71.1,44,1
1,12:46:00,72.3,46,1
1,12:48:00,73.6,48,1
1,12:50:00,74.8,50,1
1,12:52:00,75.9,52,1
1,12:54:00,77,54,1
1,12:56:00,78.1,56,1
1,12:58:00,79.1,58,1
1,13:00:00,80.1,60,1
1,13:02:00,81.1,62,1
2,12:00:00,0,0,2
2,12:02:00,3.9,2,2
2,12:04:00,6,4,2
2,12:06:00,8,6,2
2,12:08:00,9.8,8,2
2,12:10:00,11.5,10,2
2,12:12:00,13.1,12,2
2,12:14:00,14.5,14,2
2,12:16:00,15.9,16,2
2,12:18:00,17.2,18,2
2,12:20:00,18.4,20,2
2,12:22:00,19.6,22,2
2,12:24:00,20.7,24,2
2,12:26:00,21.7,26,2
2,12:28:00,22.7,28,2
2,12:30:00,23.7,30,2
2,12:32:00,24.6,32,2
2,12:34:00,25.5,34,2
2,12:36:00,26.4,36,2
2,12:38:00,27.3,38,2
2,12:40:00,28.1,40,2
2,12:42:00,28.9,42,2
2,12:44:00,29.6,44,2
2,12:46:00,30.4,46,2
2,12:48:00,31.1,48,2
2,12:50:00,31.8,50,2
2,12:52:00,32.5,52,2
2,12:54:00,33.1,54,2
2,12:56:00,33.8,56,2
2,12:58:00,34.4,58,2
2,13:00:00,35,60,2
2,13:02:00,35.6,62,2
2,13:04:00,36.2,64,2
2,13:06:00,36.8,66,2
2,13:08:00,37.4,68,2
2,13:10:00,37.9,70,2
2,13:12:00,38.5,72,2
2,13:14:00,39,74,2
2,13:16:00,39.5,76,2
2,13:18:00,40,78,2
2,13:20:00,40.5,80,2
2,13:22:00,41,82,2
2,13:24:00,41.5,84,2
4,12:00:00,0,0,3
4,12:02:00,23.3,2,3
4,12:04:00,37.2,4,3
4,12:06:00,49.3,6,3
4,12:08:00,59.4,8,3
4,12:10:00,67.5,10,3
4,12:12:00,74,12,3
4,12:14:00,79.1,14,3
4,12:16:00,83.5,16,3
4,12:18:00,87.3,18,3
4,12:20:00,90.8,20,3
4,12:22:00,93.9,22,3
4,12:24:00,96.7,24,3
4,12:26:00,99.3,26,3
4,12:28:00,101.8,28,3
4,12:30:00,104,30,3
4,12:32:00,106.2,32,3
4,12:34:00,108.2,34,3
4,12:36:00,110.1,36,3
4,12:38:00,111.9,38,3
4,12:40:00,113.7,40,3
4,12:42:00,115.3,42,3
4,12:44:00,116.9,44,3
4,12:46:00,118.4,46,3
4,12:48:00,119.9,48,3
4,12:50:00,121.3,50,3
4,12:52:00,122.7,52,3
4,12:54:00,124,54,3
4,12:56:00,125.3,56,3
4,12:58:00,126.5,58,3
4,13:00:00,127.7,60,3
4,13:02:00,128.9,62,3
4,13:04:00,130.1,64,3
4,13:06:00,131.2,66,3
4,13:08:00,132.3,68,3
4,13:10:00,133.3,70,3
4,13:12:00,134.3,72,3
4,13:14:00,135.4,74,3
4,13:16:00,136.3,76,3
4,13:18:00,137.3,78,3
4,13:20:00,138.3,80,3
4,13:22:00,139.2,82,3
4,13:24:00,140.1,84,3
4,13:26:00,141,86,3
4,13:28:00,141.8,88,3
4,13:30:00,142.7,90,3
4,13:32:00,143.5,92,3
4,13:34:00,144.4,94,3
4,13:36:00,145.2,96,3
4,13:38:00,146,98,3
4,13:40:00,146.8,100,3
4,13:42:00,147.5,102,3
4,13:44:00,148.3,104,3
4,13:46:00,149,106,3
4,13:48:00,149.8,108,3
4,13:50:00,150.5,110,3
4,13:52:00,151.2,112,3
4,13:54:00,151.9,114,3
4,13:56:00,152.6,116,3
4,13:58:00,153.3,118,3
4,14:00:00,154,120,3
4,14:02:00,154.6,122,3
4,14:04:00,155.3,124,3
4,14:06:00,155.9,126,3
4,14:08:00,156.6,128,3
4,14:10:00,157.2,130,3
4,14:12:00,157.8,132,3
4,14:14:00,158.4,134,3
4,14:16:00,159.1,136,3
4,14:18:00,159.7,138,3
4,14:20:00,160.2,140,3
4,14:22:00,160.8,142,3
4,14:24:00,161.4,144,3
4,14:26:00,162,146,3
5,12:00:00,0,0,4
5,12:02:00,28.4,2,4
5,12:04:00,49.3,4,4
5,12:06:00,68,6,4
5,12:08:00,85,8,4
5,12:10:00,100.4,10,4
5,12:12:00,114.4,12,4
5,12:14:00,127.2,14,4
5,12:16:00,138.9,16,4
5,12:18:00,149.6,18,4
5,12:20:00,159.5,20,4
5,12:22:00,168.8,22,4
5,12:24:00,177.4,24,4
5,12:26:00,185.5,26,4
5,12:28:00,193,28,4
5,12:30:00,200.2,30,4
5,12:32:00,207,32,4
5,12:34:00,213.4,34,4
5,12:36:00,219.5,36,4
5,12:38:00,225.3,38,4
5,12:40:00,230.9,40,4
5,12:42:00,236.2,42,4
5,12:44:00,241.2,44,4
5,12:46:00,246.1,46,4
5,12:48:00,250.8,48,4
5,12:50:00,255.3,50,4
5,12:52:00,259.6,52,4
5,12:54:00,263.8,54,4
